Código	Denominación	[A]	[B]	[B] VS [A]	
		ene-2025 Proyectado	ene-2025 Histórico	ene-2025 Histórico	
				VS	
				ene-2025 Proyectado	
		Monto	Monto	Monto	%
166035	CUENTAS POR COBRAR DE TERCEROS	478.657.896	556.662.169	78.004.273	16,30%
166050	OTROS	121.563.811	122.799.813	1.236.002	1,02%
166099	DETERIORO OTRAS CUENTAS POR COBRAR (CR)	-26.574.752	-25.970.953	603.799	-2,27%
17	ACTIVOS MATERIALES	8.457.572.307	9.324.829.126	867.256.819	10,25%
1705	PROPIEDADES PLANTA Y EQUIPO	8.390.581.301	9.258.254.126	867.672.825	10,34%
170502	TERRENOS	1.329.349.093	1.222.948.000	-106.401.093	-8,00%
170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
170505	MUEBLES Y EQUIPO DE OFICINA	1.752.696.101	1.739.824.496	-12.871.605	-0,73%
170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	2.817.295.967	2.783.770.209	-33.525.758	-1,19%
170545	MAQUINARIA Y EQUIPO	1.022.352.392	1.016.003.711	-6.348.681	-0,62%
170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-6.602.791.002	-6.852.391.029	-249.600.027	3,78%
170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
19	OTROS ACTIVOS	651.911.689	624.044.852	-27.866.837	-4,27%
1904	SUCURSALES Y AGENCIAS	0	 	 	100,00%
190405	TRASLADO DE FONDOS	0	 	 	100,00%
190510	SEGUROS	0	99.072.886	99.072.886	100,00%
190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
1910	ACTIVOS INTANGIBLES ADQUIRIDOS	651.911.689	624.044.852	-27.866.837	-4,27%
191025	LICENCIAS	3.249.069.112	2.688.012.475	-561.056.637	-17,27%
191095	AMORTIZACIÓN ACUMULADA (CR)	-2.597.157.423	-2.063.967.623	533.189.800	-20,53%
2	PASIVOS	172.212.272.708	171.840.747.504	-371.525.204	-0,22%
21	DEPÓSITOS	161.822.761.371	162.221.127.246	398.365.875	0,25%
2105	DEPÓSITOS DE AHORRO	87.974.790.050	88.128.726.924	153.936.874	0,17%
210505	ORDINARIOS ACTIVAS	73.893.800.722	83.529.782.579	9.635.981.857	13,04%
210510	ORDINARIOS INACTIVAS	14.080.989.327	4.598.944.345	-9.482.044.982	-67,34%
2110	CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	71.147.747.143	71.497.867.644	350.120.501	0,49%
211005	EMITIDOS MENOS DE 6 MESES	64.801.700.310	42.730.786.694	-22.070.913.616	-34,06%
211010	EMITIDOS IGUAL A 6 MESES Y MENOR E IGUAL DE 12 MESES	3.724.264.860	27.136.141.636	23.411.876.776	628,63%
211015	EMITIDOS MAYOR A 12 MESES Y MENOR DE 18 MESES	666.185.563	0	-666.185.563	-100,00%
211020	EMITIDOS IGUAL O SUPERIOR DE 18 MESES	2.534.075	568.310.000	565.775.925	22326,72%
211095	INTERESES CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	1.953.062.335	1.062.629.314	-890.433.021	-45,59%
2125	DEPÓSITOS DE AHORRO CONTRACTUAL	2.700.224.178	2.594.532.678	-105.691.500	-3,91%
212505	DEPÓSITOS A CORTO PLAZO - ACTIVAS	1.975.946.699	1.796.575.079	-179.371.620	-9,08%
