Código	Denominación	[A]	[B]	[B] VS [A]	
		jul-2025 Proyectado	jul-2025 Histórico	jul-2025 Histórico	
				VS	
				jul-2025 Proyectado	
		Monto	Monto	Monto	%
170502	TERRENOS	2.829.349.093	1.222.948.000	-1.606.401.093	-56,78%
170504	EDIFICACIONES	8.064.131.884	9.340.598.739	1.276.466.855	15,83%
170505	MUEBLES Y EQUIPO DE OFICINA	1.810.696.101	1.747.775.358	-62.920.743	-3,47%
170520	EQUIPO DE CÓMPUTO Y COMUNICACIÓN	4.402.295.967	4.066.853.617	-335.442.350	-7,62%
170545	MAQUINARIA Y EQUIPO	1.022.352.392	1.018.833.711	-3.518.681	-0,34%
170560	BIENES DE FONDOS SOCIALES	7.546.865	7.500.000	-46.865	-0,62%
170591	BIENES RECIBIDOS EN PAGO	27.168.714	27.000.000	-168.714	-0,62%
170595	DEPRECIACIÓN AGOTAMIENTO PROPIEDAD PLANTA Y EQUIPO (CR)	-7.464.878.822	-7.136.360.005	328.518.817	-4,40%
170599	DETERIORO PROPIEDAD PLANTA Y EQUIPO (CR)	-27.168.714	-27.000.000	168.714	-0,62%
1715	PROPIEDADES DE INVERSIÓN MEDIDAS A VALOR RAZONABLE	66.991.006	66.575.000	-416.006	-0,62%
171505	TERRENOS	46.287.439	46.000.000	-287.439	-0,62%
171510	EDIFICACIONES	20.703.567	20.575.000	-128.567	-0,62%
19	OTROS ACTIVOS	386.858.512	771.027.031	384.168.519	99,30%
190510	SEGUROS	0	99.072.886	99.072.886	100,00%
190515	ARRENDAMIENTOS	0	1.043.739.561	1.043.739.561	100,00%
190595	AMORTIZACIÓN ACUMULADA (CR)	0	-1.142.812.447	-1.142.812.447	100,00%
1910	ACTIVOS INTANGIBLES ADQUIRIDOS	386.858.512	771.027.031	384.168.519	99,30%
191025	LICENCIAS	2.535.601.586	3.091.244.768	555.643.182	21,91%
191095	AMORTIZACIÓN ACUMULADA (CR)	-2.148.743.075	-2.320.217.737	-171.474.662	7,98%
2	PASIVOS	177.078.115.852	187.082.740.179	10.004.624.327	5,65%
21	DEPÓSITOS	162.597.761.371	179.212.722.327	16.614.960.956	10,22%
2105	DEPÓSITOS DE AHORRO	89.169.790.050	99.905.616.573	10.735.826.523	12,04%
210505	ORDINARIOS ACTIVAS	89.169.790.050	96.061.496.283	6.891.706.233	7,73%
210510	ORDINARIOS INACTIVAS	0	3.844.120.290	3.844.120.290	100,00%
2110	CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	70.484.747.143	76.329.532.444	5.844.785.301	8,29%
211005	EMITIDOS MENOS DE 6 MESES	37.213.985.305	37.282.857.128	68.871.823	0,19%
211010	EMITIDOS IGUAL A 6 MESES Y MENOR E IGUAL DE 12 MESES	31.033.152.557	37.492.273.902	6.459.121.345	20,81%
211020	EMITIDOS IGUAL O SUPERIOR DE 18 MESES	651.556.597	374.680.805	-276.875.792	-42,49%
211095	INTERESES CERTIFICADOS DEPÓSITOS DE AHORRO A TÉRMINO	1.586.052.685	1.179.720.609	-406.332.076	-25,62%
2125	DEPÓSITOS DE AHORRO CONTRACTUAL	2.943.224.178	2.977.573.310	34.349.132	1,17%
212505	DEPÓSITOS A CORTO PLAZO - ACTIVAS	982.595.976	2.031.723.079	1.049.127.103	106,77%
212510	DEPÓSITOS A CORTO PLAZO - INACTIVAS	219.950.092	666.023.936	446.073.844	202,81%
212515	DEPÓSITOS A LARGO PLAZO - ACTIVAS	1.128.116.392	183.982.886	-944.133.506	-83,69%
212520	DEPÓSITOS A LARGO PLAZO - INACTIVAS	582.792.112	70.145.821	-512.646.291	-87,96%
212595	INTERESES DEPÓSITOS DE AHORRO CONTRACTUAL	29.769.607	25.697.588	-4.072.019	-13,68%
23	OBLIGACIONES FINANCIERAS Y OTROS PASIVOS FINANCIEROS	9.846.195.130	4.065.704.018	-5.780.491.112	-58,71%
