					
Código	Denominación	[A]	[B]	[B] VS [A]	
		feb-2025 Proyectado	feb-2025 Histórico	feb-2025 Histórico	
				VS	
				feb-2025 Proyectado	
		Monto	Monto	Monto	%
1456	INTERESES MICROCRÉDITO EMPRESARIAL	1.763.982.609	1.628.483.382	-135.499.227	-7,68%
145605	CATEGORÍA A RIESGO NORMAL	916.217.585	879.727.584	-36.490.001	-3,98%
145610	CATEGORÍA B RIESGO ACEPTABLE	35.387.583	53.799.229	18.411.646	52,03%
145615	CATEGORÍA C RIESGO APRECIABLE	44.111.028	42.682.508	-1.428.520	-3,24%
145620	CATEGORÍA D RIESGO SIGNIFICATIVO	28.424.704	33.697.214	5.272.510	18,55%
145625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	598.013.035	486.163.155	-111.849.880	-18,70%
145630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	141.828.674	132.413.693	-9.414.981	-6,64%
1457	PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	230.527.701	70.062.686	-160.465.015	-69,61%
145705	CATEGORÍA A RIESGO NORMAL	556.237	41.800	-514.437	-92,49%
145710	CATEGORÍA B RIESGO ACEPTABLE	81.353	20.900	-60.453	-74,31%
145715	CATEGORÍA C RIESGO APRECIABLE	0	472.201	472.201	100,00%
145720	CATEGORÍA D RIESGO SIGNIFICATIVO	569.471	0	-569.471	-100,00%
145725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	221.583.276	61.482.032	-160.101.244	-72,25%
145730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	7.737.364	8.045.753	308.389	3,99%
1458	DETERIORO MICROCRÉDITO EMPRESARIAL (CR)	-85.212.297	-3.884.724.228	-3.799.511.931	4458,88%
145810	CATEGORÍA A RIESGO NORMAL	-9.918.144	-167.512.131	-157.593.987	1588,95%
145820	CATEGORÍA B RIESGO ACEPTABLE	-2.104.518	-42.426.909	-40.322.391	1915,99%
145830	CATEGORÍA C RIESGO APRECIABLE	-3.850.704	-70.649.064	-66.798.360	1734,71%
145840	CATEGORÍA D RIESGO SIGNIFICATIVO	-6.477.848	-110.992.197	-104.514.349	1613,41%
145850	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-62.861.083	-3.493.143.927	-3.430.282.844	5456,93%
1459	DETERIORO INTERESES MICROCRÉDITO EMPRESARIAL (CR)	-939.249.399	-591.869.078	347.380.321	-36,98%
145905	CATEGORÍA A RIESGO NORMAL	0	-9.916.051	-9.916.051	100,00%
145910	CATEGORÍA B RIESGO ACEPTABLE	-126.800.370	-4.456.681	122.343.689	-96,49%
145915	CATEGORÍA C RIESGO APRECIABLE	-44.079.953	-7.242.740	36.837.213	-83,57%
145920	CATEGORÍA D RIESGO SIGNIFICATIVO	-28.424.704	-14.113.020	14.311.684	-50,35%
145925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-598.118.571	-425.007.999	173.110.571	-28,94%
145930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-141.825.802	-131.132.587	10.693.215	-7,54%
1460	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL (CR)	-229.890.111	-60.327.634	169.562.477	-73,76%
146015	CATEGORÍA C RIESGO APRECIABLE	0	-54.393	-54.393	100,00%
146020	CATEGORÍA D RIESGO SIGNIFICATIVO	-569.471	0	569.471	-100,00%
146025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-221.583.276	-52.227.488	169.355.788	-76,43%
146030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-7.737.364	-8.045.753	-308.389	3,99%
1462	CRÉDITOS COMERCIALES	27.830.856.960	23.745.823.885	-4.085.033.076	-14,68%
146205	CATEGORÍA A RIESGO NORMAL	26.272.328.971	20.878.766.606	-5.393.562.365	-20,53%
146210	CATEGORÍA B RIESGO ACEPTABLE	480.494.179	599.493.547	118.999.368	24,77%
146215	CATEGORÍA C RIESGO APRECIABLE	189.566.840	800.988.002	611.421.162	322,54%
146220	CATEGORÍA D RIESGO SIGNIFICATIVO	59.174.627	98.030.775	38.856.148	65,66%
146225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	829.292.344	1.368.544.955	539.252.611	65,03%
1463	INTERESES CRÉDITOS COMERCIALES	1.043.067.290	1.017.298.147	-25.769.143	-2,47%
146305	CATEGORÍA A RIESGO NORMAL	685.718.658	607.721.598	-77.997.060	-11,37%
146310	CATEGORÍA B RIESGO ACEPTABLE	36.239.147	31.057.218	-5.181.929	-14,30%
146315	CATEGORÍA C RIESGO APRECIABLE	2.175.299	67.364.180	65.188.881	2996,78%
146320	CATEGORÍA D RIESGO SIGNIFICATIVO	9.248.443	9.817.105	568.662	6,15%
146325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	180.855.188	170.408.900	-10.446.288	-5,78%
146330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	128.830.555	130.929.146	2.098.591	1,63%
1464	PAGOS POR CUENTA DE ASOCIADOS -COMERCIAL	68.330.632	23.089.756	-45.240.876	-66,21%
146405	CATEGORÍA A RIESGO NORMAL	272.474	70.000	-202.474	-74,31%
146410	CATEGORÍA B RIESGO ACEPTABLE	81.353	0	-81.353	-100,00%
146415	CATEGORÍA C RIESGO APRECIABLE	0	20.900	20.900	100,00%
146420	CATEGORÍA D RIESGO SIGNIFICATIVO	81.353	0	-81.353	-100,00%
146425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	63.550.277	18.185.601	-45.364.676	-71,38%
146430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	4.345.174	4.813.255	468.081	10,77%
1465	DETERIORO CRÉDITOS COMERCIALES (CR)	-611.566.383	-1.192.417.338	-580.850.955	94,98%
146510	CATEGORÍA A RIESGO NORMAL	0	-78.153.847	-78.153.847	100,00%
146520	CATEGORÍA B RIESGO ACEPTABLE	-2.929.274	-35.434.014	-32.504.740	1109,65%
146530	CATEGORÍA C RIESGO APRECIABLE	-16.772.396	-137.310.001	-120.537.605	718,67%
146540	CATEGORÍA D RIESGO SIGNIFICATIVO	-18.458.446	-33.544.827	-15.086.381	81,73%
146550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-573.406.267	-907.974.649	-334.568.382	58,35%
1466	DETERIORO INTERESES CRÉDITOS COMERCIALES (CR)	-319.548.511	-259.932.283	59.616.228	-18,66%
