	Código	Denominación	[A]	[B]	[B] VS [A]	
			mar-2025 Proyectado	mar-2025 Histórico	mar-2025 Histórico	
					VS	
					mar-2025 Proyectado	
			Monto	Monto	Monto	%
	144530	CATEGORÍA C RIESGO APRECIABLE	-842.874.559	-56.716.402	786.158.157	-93,27%
	144540	CATEGORÍA D RIESGO SIGNIFICATIVO	-2.285.386.017	-287.910.497	1.997.475.520	-87,40%
	144550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-24.742.066.983	-2.693.357.033	22.048.709.950	-89,11%
	1446	DETERIORO INTERESES CRÉDITOS DE CONSUMO (CR)	-371.401.049	-249.332.661	122.068.388	-32,87%
	144605	CATEGORÍA A RIESGO NORMAL	0	-3.793.341	-3.793.341	100,00%
	144610	CATEGORÍA B RIESGO ACEPTABLE	0	-1.235.461	-1.235.461	100,00%
	144615	CATEGORÍA C RIESGO APRECIABLE	-21.396.569	-2.385.823	19.010.746	-88,85%
	144620	CATEGORÍA D RIESGO SIGNIFICATIVO	-35.731.483	-17.500.012	18.231.471	-51,02%
	144625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-278.175.785	-200.196.071	77.979.714	-28,03%
	144630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-36.097.213	-24.221.953	11.875.260	-32,90%
	1447	DETERIORO PAGO POR CUENTA DE ASOCIADOS - CRÉDITOS DE CONSUMO (CR)	-31.269.817	-22.298.656	8.971.161	-28,69%
	144715	CATEGORÍA C RIESGO APRECIABLE	-325.412	-19.731	305.681	-93,94%
	144720	CATEGORÍA D RIESGO SIGNIFICATIVO	-3.500.904	-218.136	3.282.768	-93,77%
	144725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-25.848.140	-22.060.789	3.787.351	-14,65%
	144730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-1.595.361	0	1.595.361	-100,00%
	1455	MICROCRÉDITO EMPRESARIAL	19.877.074.024	19.860.359.890	-16.714.134	-0,08%
	145505	CATEGORÍA A RIESGO NORMAL	17.312.931.475	14.582.932.916	-2.729.998.559	-15,77%
	145510	CATEGORÍA B RIESGO ACEPTABLE	578.470.559	438.365.932	-140.104.627	-24,22%
	145515	CATEGORÍA C RIESGO APRECIABLE	316.862.026	312.407.239	-4.454.787	-1,41%
	145520	CATEGORÍA D RIESGO SIGNIFICATIVO	306.925.705	334.476.333	27.550.628	8,98%
	145525	CATEGORÍA E RIESGO DE INCOBRABILIDAD	1.361.884.259	4.192.177.471	2.830.293.212	207,82%
	1456	INTERESES MICROCRÉDITO EMPRESARIAL	1.888.235.738	1.604.602.815	-283.632.923	-15,02%
	145605	CATEGORÍA A RIESGO NORMAL	889.189.166	858.250.995	-30.938.171	-3,48%
	145610	CATEGORÍA B RIESGO ACEPTABLE	34.931.084	41.093.468	6.162.384	17,64%
	145615	CATEGORÍA C RIESGO APRECIABLE	38.539.806	34.445.421	-4.094.385	-10,62%
	145620	CATEGORÍA D RIESGO SIGNIFICATIVO	42.179.418	37.699.429	-4.479.989	-10,62%
	145625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	678.326.185	505.582.424	-172.743.762	-25,47%
	145630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	205.070.080	127.531.079	-77.539.001	-37,81%
	1457	PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL	455.554.135	63.577.643	-391.976.492	-86,04%
	145705	CATEGORÍA A RIESGO NORMAL	1.112.473	41.793	-1.070.680	-96,24%
	145710	CATEGORÍA B RIESGO ACEPTABLE	162.706	42.800	-119.906	-73,69%
	145720	CATEGORÍA D RIESGO SIGNIFICATIVO	1.138.942	339.501	-799.441	-70,19%
	145725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	443.166.552	63.153.549	-380.013.003	-85,75%
	145730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	9.973.462	0	-9.973.462	-100,00%
	1458	DETERIORO MICROCRÉDITO EMPRESARIAL (CR)	-93.847.617	-3.967.191.035	-3.873.343.418	4127,27%
	145810	CATEGORÍA A RIESGO NORMAL	-9.266.391	-154.620.543	-145.354.152	1568,62%
	145820	CATEGORÍA B RIESGO ACEPTABLE	-2.078.432	-35.064.741	-32.986.309	1587,08%
	145830	CATEGORÍA C RIESGO APRECIABLE	-3.266.106	-52.372.007	-49.105.901	1503,50%
	145840	CATEGORÍA D RIESGO SIGNIFICATIVO	-7.946.324	-139.316.400	-131.370.076	1653,22%
	145850	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-71.290.365	-3.585.817.344	-3.514.526.979	4929,88%
	1459	DETERIORO INTERESES MICROCRÉDITO EMPRESARIAL (CR)	-1.217.877.670	-602.747.462	615.130.208	-50,51%
	145905	CATEGORÍA A RIESGO NORMAL	0	-9.704.309	-9.704.309	100,00%
	145910	CATEGORÍA B RIESGO ACEPTABLE	-253.600.739	-3.371.481	250.229.258	-98,67%
	145915	CATEGORÍA C RIESGO APRECIABLE	-38.525.879	-5.990.673	32.535.206	-84,45%
