AÑO	MES	CANTIDAD_TRABAJADORES_QUE_PARTICIPARON	OFICINA_DEPENDENCIA	ROLES	TEMA_DE_FORMACION	TIPO_DE_FORMACION	TOTAL_DE_PARTICIPANTES	TOTAL_DE_TRABAJADORES	PORCENTAJE_DE_PARTICIPACION	NUM_VECES_FORMADO_CADA_TRABAJADOR	CALIFICACION
2025	Febrero	3	Neiva	Asesores externos y barra	Negociaciones exitosas en crédito para tiempos dificiles, capacidad para producir acuerdos efectivos, fortalecimiento de habilidades para negociar	Entrenamiento	206	206	100%	3	4.5
2025	Febrero	1	Gigante	Asesores externos y barra	Negociaciones exitosas en crédito para tiempos dificiles, capacidad para producir acuerdos efectivos, fortalecimiento de habilidades para negociar	Entrenamiento	206	206	100%	3	4.5
2025	Marzo	27	Todo Coofisam	Todos los roles	Bre-be	Capacitación Interna	153	206	74%	3	4.0
2025	Marzo	100	Todo Coofisam	Todos los roles	Protección de datos	Curso en Plataforma Aprendizaje	153	206	74%	3	4.0
2025	Marzo	1	Chaparral	Cajeros	Competencias básicas, técnicas y específicas	Inducción	153	206	74%	3	4.0
2025	Marzo	1	Pitalito	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	153	206	74%	3	3.9
2025	Marzo	3	Dirección General	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	153	206	74%	3	4.0
2025	Marzo	1	Fundacoofisam	Todos los roles	Portafolio de servicios Coofisam y Fundacoofisam	Reinducción	153	206	74%	3	4.0
2025	Marzo	2	Suaza	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	5	Pitalito	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	1	Garzón	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	2	La Plata	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	2	Hobo	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	1	Florencia	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	1	Espinal	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
